head,head_type,relation,tail,tail_type,evidence,source_doc_id,source_file,source_type,confidence
植物神经紊乱,Other,is_a,内科疾病,MedicalCategory,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其",Doc_train_0717_0010,train_0717,gold,1.0
长期的精神压力,Other,causes,植物神经紊乱,Other,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、",Doc_train_0717_0010,train_0717,gold,1.0
精神紧张,Other,causes,植物神经紊乱,Other,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、与精神易兴",Doc_train_0717_0010,train_0717,gold,1.0
生气,Other,causes,植物神经紊乱,Other,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、与精神易兴奋相联系",Doc_train_0717_0010,train_0717,gold,1.0
精神受到刺激,Other,causes,植物神经紊乱,Other,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表",Doc_train_0717_0010,train_0717,gold,1.0
植物神经紊乱,Other,causes,与精神易兴奋相联系的精神易疲劳表现,MedicalCategory,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要",Doc_train_0717_0010,train_0717,gold,1.0
植物神经紊乱,Other,causes,情绪症状,Disease,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难",Doc_train_0717_0010,train_0717,gold,1.0
植物神经紊乱,Other,causes,睡眠障碍,Other,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、头部不适感,表现为紧张",Doc_train_0717_0010,train_0717,gold,1.0
植物神经紊乱,Other,causes,头部不适感,Other,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、头部不适感,表现为紧张性头痛、头昏、头憋胀。5、内脏功能紊乱,如胃胀、肠鸣、食欲",Doc_train_0717_0010,train_0717,gold,1.0
植物神经紊乱,Other,causes,内脏功能紊乱,PathologicalState,"系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为某种疾病的伴随症状,因此其属于内科疾病。它主要是由于长期的精神压力、精神紧张以及生气、精神受到刺激所引起。其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、头部不适感,表现为紧张性头痛、头昏、头憋胀。5、内脏功能紊乱,如胃胀、肠鸣、食欲不振、恶心、便秘、心悸、胸闷等。",Doc_train_0717_0010,train_0717,gold,1.0
情绪不稳,Other,is_a,情绪症状,MedicalCategory,"其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦",Doc_train_0717_0010,train_0717,gold,1.0
烦躁,Other,is_a,情绪症状,MedicalCategory,"其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒",Doc_train_0717_0010,train_0717,gold,1.0
焦虑,Other,is_a,情绪症状,MedicalCategory,"其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、",Doc_train_0717_0010,train_0717,gold,1.0
易激惹,Other,is_a,情绪症状,MedicalCategory,"其主要的表现有以下几方面:1、与精神易兴奋相联系的精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、头部不适",Doc_train_0717_0010,train_0717,gold,1.0
入睡困难,Other,is_a,睡眠障碍,MedicalCategory,"精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、头部不适感,表现为紧张性头痛、头昏、头憋胀",Doc_train_0717_0010,train_0717,gold,1.0
睡眠表浅,Other,is_a,睡眠障碍,MedicalCategory,"精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、头部不适感,表现为紧张性头痛、头昏、头憋胀。5、内脏",Doc_train_0717_0010,train_0717,gold,1.0
多梦,Other,is_a,睡眠障碍,MedicalCategory,"精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、头部不适感,表现为紧张性头痛、头昏、头憋胀。5、内脏功能紊",Doc_train_0717_0010,train_0717,gold,1.0
早醒,Other,is_a,睡眠障碍,MedicalCategory,"精神易疲劳表现。2、情绪症状,表现为情绪不稳、烦躁、焦虑、易激惹。3、睡眠障碍,主要表现为入睡困难、睡眠表浅、多梦或早醒。4、头部不适感,表现为紧张性头痛、头昏、头憋胀。5、内脏功能紊乱,如",Doc_train_0717_0010,train_0717,gold,1.0
