event_id,cause,effect,condition,evidence,source_doc_id,source_file,source_type,confidence
Event_eee687b8718e,甲减,月经紊乱,女性,"甲减病,就是甲状腺机能减退症,它属于内分泌科的一种常见病以及多发病,属于自身免疫性的疾病,它具有家族遗传倾向,有的患者补碘比较高,也可以出现甲减。甲减的患者,最早期的表现是代谢缓慢的表现,患者可以有怕冷、乏力、记忆力减退等症状。在女性的患者可以有月经紊乱、出现闭经或者月经延迟;男性的患者可以出现性功能障碍;女性患者还可以有",Doc_train_0717_0021,train_0717,gold,1.0
Event_37ea517428fd,甲减,闭经,女性,"甲减病,就是甲状腺机能减退症,它属于内分泌科的一种常见病以及多发病,属于自身免疫性的疾病,它具有家族遗传倾向,有的患者补碘比较高,也可以出现甲减。甲减的患者,最早期的表现是代谢缓慢的表现,患者可以有怕冷、乏力、记忆力减退等症状。在女性的患者可以有月经紊乱、出现闭经或者月经延迟;男性的患者可以出现性功能障碍;女性患者还可以有腹胀、消化",Doc_train_0717_0021,train_0717,gold,1.0
Event_364ef5d5bdae,甲减,月经延迟,女性,"甲减病,就是甲状腺机能减退症,它属于内分泌科的一种常见病以及多发病,属于自身免疫性的疾病,它具有家族遗传倾向,有的患者补碘比较高,也可以出现甲减。甲减的患者,最早期的表现是代谢缓慢的表现,患者可以有怕冷、乏力、记忆力减退等症状。在女性的患者可以有月经紊乱、出现闭经或者月经延迟;男性的患者可以出现性功能障碍;女性患者还可以有腹胀、消化功能减慢。在",Doc_train_0717_0021,train_0717,gold,1.0
Event_d3bb771a4812,甲减,腹胀,女性,"甲减病,就是甲状腺机能减退症,它属于内分泌科的一种常见病以及多发病,属于自身免疫性的疾病,它具有家族遗传倾向,有的患者补碘比较高,也可以出现甲减。甲减的患者,最早期的表现是代谢缓慢的表现,患者可以有怕冷、乏力、记忆力减退等症状。在女性的患者可以有月经紊乱、出现闭经或者月经延迟;男性的患者可以出现性功能障碍;女性患者还可以有腹胀、消化功能减慢。在检查中患者可以有周身浮肿,呈非凹陷性的水肿,血液检查",Doc_train_0717_0021,train_0717,gold,1.0
Event_64b41267b3f0,甲减,消化功能减慢,女性,"甲减病,就是甲状腺机能减退症,它属于内分泌科的一种常见病以及多发病,属于自身免疫性的疾病,它具有家族遗传倾向,有的患者补碘比较高,也可以出现甲减。甲减的患者,最早期的表现是代谢缓慢的表现,患者可以有怕冷、乏力、记忆力减退等症状。在女性的患者可以有月经紊乱、出现闭经或者月经延迟;男性的患者可以出现性功能障碍;女性患者还可以有腹胀、消化功能减慢。在检查中患者可以有周身浮肿,呈非凹陷性的水肿,血液检查可以有血常规中",Doc_train_0717_0021,train_0717,gold,1.0
Event_6fd6d9d1c10a,甲减,性功能障碍,男性,"甲减病,就是甲状腺机能减退症,它属于内分泌科的一种常见病以及多发病,属于自身免疫性的疾病,它具有家族遗传倾向,有的患者补碘比较高,也可以出现甲减。甲减的患者,最早期的表现是代谢缓慢的表现,患者可以有怕冷、乏力、记忆力减退等症状。在女性的患者可以有月经紊乱、出现闭经或者月经延迟;男性的患者可以出现性功能障碍;女性患者还可以有腹胀、消化功能减慢。在检查中患者可以有周身浮肿,呈非",Doc_train_0717_0021,train_0717,gold,1.0
Event_ea34922352bc,"36周的新生儿,消化系统的功能也不是很完善",消化不良,喂养不当,"儿,肺泡的发育不完全,孩子出生以后容易患新生儿肺炎;4、消化功能不好,36周的新生儿,消化系统的功能也不是很完善,宝宝出生以后如果喂养不当,容易出现消化不良、腹痛、腹泻、呕吐等症状。",Doc_train_0717_0024,train_0717,gold,1.0
Event_5f6402491666,"36周的新生儿,消化系统的功能也不是很完善",腹痛,喂养不当,"儿,肺泡的发育不完全,孩子出生以后容易患新生儿肺炎;4、消化功能不好,36周的新生儿,消化系统的功能也不是很完善,宝宝出生以后如果喂养不当,容易出现消化不良、腹痛、腹泻、呕吐等症状。",Doc_train_0717_0024,train_0717,gold,1.0
Event_c41ddfcf02ea,"36周的新生儿,消化系统的功能也不是很完善",腹泻,喂养不当,"儿,肺泡的发育不完全,孩子出生以后容易患新生儿肺炎;4、消化功能不好,36周的新生儿,消化系统的功能也不是很完善,宝宝出生以后如果喂养不当,容易出现消化不良、腹痛、腹泻、呕吐等症状。",Doc_train_0717_0024,train_0717,gold,1.0
Event_9a61733f9917,"36周的新生儿,消化系统的功能也不是很完善",呕吐,喂养不当,"儿,肺泡的发育不完全,孩子出生以后容易患新生儿肺炎;4、消化功能不好,36周的新生儿,消化系统的功能也不是很完善,宝宝出生以后如果喂养不当,容易出现消化不良、腹痛、腹泻、呕吐等症状。",Doc_train_0717_0024,train_0717,gold,1.0
Event_2988340eb76e,心功能不足,长出气,心肌炎,"儿童心肌炎以感染性尤其是病毒性心肌炎为常见,有病程长、易复发等特点。发病与感染、自身免疫等有关,常见有太息(长出气)、乏力、苍白、多汗、心悸、气短、胸闷、头晕、心前区痛、手足发凉等症状。目前多采用中西医综合防治措施,包括多辨证选用中药治疗、对症治疗、抗感染治疗、营养心肌和改善心肌代谢、纠正心律失常、调节免疫功能等。急性期的休息十分重要,轻症应注意休息,不要剧烈活动。一般病情的至少应休息1个月或热退后再休息3-4个星期。有心功能不全、心脏扩大者更应强调卧床休息3-6个月,待病情好转、心脏明显缩小时再开始逐渐活动。恢复期应及时加用免疫调节疗法,多辨证选用中药、推拿等。心肌炎时长出气是心功能不足的表现。机理是心肌收缩乏力,心脏射血量偶有减少,导致一过性肺郁血,反射",Doc_train_0717_0026,train_0717,gold,1.0
Event_1b068f4c3633,大声的嘶喊,加重炎症的反应,发炎,"咽喉经常发炎最常见的原因是慢性咽喉炎反复急性发作而导致的,此时多和工作环境、大声嘶喊以及不良的生活习惯有很大的关系。平时在饮食上要以清淡饮食为主,不要吃生葱、生蒜、辣椒、海鲜、烟酒等等辛辣、刺激的食物;同时也不要吃特别咸、特别辣、特别油腻的食物。而很多人在发炎的过程中,还喜欢大声的嘶喊,这都会加重炎症的反应。在发作时可以配合吃口服药五味麝香丸或者六神丸,七味清咽气雾剂或者开喉",Doc_train_0717_0042,train_0717,gold,1.0
Event_0407845105d1,老视,看近物出现逐渐模糊,40岁以上的人群,"眼睛看东西出现模糊,常见考虑为视疲劳、干眼症等引起,如果是40岁以上的人群,看近物出现逐渐模糊的表现,考虑为老视引起,正常人群的眼睛有一层泪膜,有湿润眼球表面的作用,维持正常视功能的",Doc_train_0717_0052,train_0717,gold,1.0
Event_1dd11a21bb57,尿路感染较严重,逆行感染精囊,精囊腺开口通过前列腺到尿道里,"造成精囊炎原因如下:1、前列腺或者泌尿系有炎症,因为精囊腺开口通过前列腺到尿道里,所以尿路感染较严重时会逆行感染精囊;2、长时间没有排泄,时间长以后会堆积很多分泌的液体,中医叫郁久以后会",Doc_train_0717_0061,train_0717,gold,1.0
Event_6bf2d473adc7,拉肚子,精囊炎,肠道离精囊腺较近,"造成精囊炎原因如下:1、前列腺或者泌尿系有炎症,因为精囊腺开口通过前列腺到尿道里,所以尿路感染较严重时会逆行感染精囊;2、长时间没有排泄,时间长以后会堆积很多分泌的液体,中医叫郁久以后会化火,西医是炎症;3、肠道问题,肠道离精囊腺较近,经常有看到拉肚子的病人来检查前列腺液或者精囊液,特别是精液,一般都会有白细胞高,医学上",Doc_train_0717_0061,train_0717,gold,1.0
Event_f0397fa15f88,清宫不干净,剧烈腹痛,清宫后阴道出血超过2周,":一、清宫后阴道出血时间一般在10天左右,并且只有略微的腹痛现象。如果清宫后阴道出血超过2周,出现剧烈腹痛、发热等异常的情况,考虑是清宫不干净。二、清宫后可经过b超的方式观察子宫内是否有异物,从而来确定清宫是否干",Doc_train_0717_0067,train_0717,gold,1.0
Event_a6c1a4dd391d,清宫不干净,发热,清宫后阴道出血超过2周,":一、清宫后阴道出血时间一般在10天左右,并且只有略微的腹痛现象。如果清宫后阴道出血超过2周,出现剧烈腹痛、发热等异常的情况,考虑是清宫不干净。二、清宫后可经过b超的方式观察子宫内是否有异物,从而来确定清宫是否干",Doc_train_0717_0067,train_0717,gold,1.0
Event_29b28ef69777,细菌性肺炎,交叉感染,本身抵抗力低下,"细菌性肺炎不会传染家人,因为细菌性肺炎不是传染性疾病,不具有传染性或者传染性非常低。细菌性肺炎是由于感染细菌所引起来的肺部组织急性炎症,包括感染肺炎链球菌、肺炎克雷伯杆菌、金黄色葡萄球菌等等,以上细菌性肺炎本身不具有传染性,对于正常人群,接触细菌性肺炎病人并不会发生传染。但如果本身抵抗力低下,比如有hiv感染或者长期使用激素、有糖尿病的病人,接触了细菌性肺炎有可能会引起一定交叉感染。因此,上述病人需要加以注意和重视,尽量避免近距离接触。",Doc_train_0717_0069,train_0717,gold,1.0
Event_85defbcf9c95,晕车,突然间恶心、想吐、头晕、虚汗、浑身无力,乘坐交通工具,"能够导致突然间恶心、想吐、头晕、虚汗、浑身无力的症状,原因有很多,要结合患者发病的原因,以及基础疾病的检查来判断,具体如下:第一方面,患者如果是乘坐交通工具的情况下,突然间出现上述症状,可能是发生晕车、晕船的反应,患者同时可能有腹部的饱胀不适。第二方面,一些老年人出现这",Doc_train_0717_0070,train_0717,gold,1.0
Event_03720ec30de7,晕船的反应,突然间恶心、想吐、头晕、虚汗、浑身无力,乘坐交通工具,"能够导致突然间恶心、想吐、头晕、虚汗、浑身无力的症状,原因有很多,要结合患者发病的原因,以及基础疾病的检查来判断,具体如下:第一方面,患者如果是乘坐交通工具的情况下,突然间出现上述症状,可能是发生晕车、晕船的反应,患者同时可能有腹部的饱胀不适。第二方面,一些老年人出现这种情况,要考",Doc_train_0717_0070,train_0717,gold,1.0
Event_cbf6cd97fbf6,晕车,腹部的饱胀不适,乘坐交通工具,"者发病的原因,以及基础疾病的检查来判断,具体如下:第一方面,患者如果是乘坐交通工具的情况下,突然间出现上述症状,可能是发生晕车、晕船的反应,患者同时可能有腹部的饱胀不适。第二方面,一些老年人出现这种情况,要考虑可能是脑血管疾病,比如脑血管",Doc_train_0717_0070,train_0717,gold,1.0
Event_489ab732cade,晕船的反应,腹部的饱胀不适,乘坐交通工具,"者发病的原因,以及基础疾病的检查来判断,具体如下:第一方面,患者如果是乘坐交通工具的情况下,突然间出现上述症状,可能是发生晕车、晕船的反应,患者同时可能有腹部的饱胀不适。第二方面,一些老年人出现这种情况,要考虑可能是脑血管疾病,比如脑血管",Doc_train_0717_0070,train_0717,gold,1.0
Event_2120d2b7bf87,脑血管疾病,突然间恶心、想吐、头晕、虚汗、浑身无力,老年人,"能够导致突然间恶心、想吐、头晕、虚汗、浑身无力的症状,原因有很多,要结合患者发病的原因,以及基础疾病的检查来判断,具体如下:第一方面,患者如果是乘坐交通工具的情况下,突然间出现上述症状,可能是发生晕车、晕船的反应,患者同时可能有腹部的饱胀不适。第二方面,一些老年人出现这种情况,要考虑可能是脑血管疾病,比如脑血管痉挛、脑供血不足,或者高血压的血压波动引起的。也有可能与颈",Doc_train_0717_0070,train_0717,gold,1.0
Event_8df4a6acf0c6,颈椎问题,突然间恶心、想吐、头晕、虚汗、浑身无力,头颈不舒服,"能够导致突然间恶心、想吐、头晕、虚汗、浑身无力的症状,原因有很多,要结合患者发病的原因,以及基础疾病的检查来判断,具体如下:第一方面,患者如果是乘坐交通工具的情况下,突然间出现上述症状,可能是发生晕车、晕船的反应,患者同时可能有腹部的饱胀不适。第二方面,一些老年人出现这种情况,要考虑可能是脑血管疾病,比如脑血管痉挛、脑供血不足,或者高血压的血压波动引起的。也有可能与颈椎病问题相关,当患者伴有头颈不舒服的时候,要考虑颈椎问题。第三方面,突然头晕、恶心、想吐、冒虚汗、浑身无力,还要考虑是低血糖的",Doc_train_0717_0070,train_0717,gold,1.0
Event_14f9cf01cda2,低血糖,突然头晕、恶心、想吐、冒虚汗、浑身无力,进食后能够好转,"颈椎病问题相关,当患者伴有头颈不舒服的时候,要考虑颈椎问题。第三方面,突然头晕、恶心、想吐、冒虚汗、浑身无力,还要考虑是低血糖的反应,如果进食后能够好转,可以考虑是低血糖的表现。",Doc_train_0717_0070,train_0717,gold,1.0
Event_62033c4aebb1,腰痛,肾功能的损伤,时间久等,"肾脏尿流不能很通畅到达膀胱,从而引起肾脏积水、尿路感染。还有病人可能有腰痛症状,时间久等病人可能会导致肾功能的损伤。所以有输尿管狭窄的病人一定要到正规医院做检查,如有简单的无创检查,如",Doc_train_0717_0075,train_0717,gold,1.0
Event_eb14064f84e2,淋浴时患者是站立的,心脑血管的不适症状,高烧,"高烧的时候是可以泡脚的。一般高烧的时候可以用偏凉的水来进行泡脚,不宜过凉,容易造成血管收缩,造成寒战反射等情况。偏凉对于体温能起到传导散热,有利于降低体温。不仅可以泡脚,临床上也有物理降温的方式,就是采取水分传导散热,比如患者可以采取温水浴来进行散热,水温要偏低于体温,能够起到传导散热的作用,从而降低机体体温,是临床上非常有效、确切的物理降温的方式。不建议用淋浴,因为淋浴时患者是站立的,容易高烧时造成心脑血管的不适症状,容易造成晕倒等情况。尽量给予患者用浴缸进行物理降温。如果物理降温患者",Doc_train_0717_0077,train_0717,gold,1.0
Event_fc70bf417fda,淋浴时患者是站立的,晕倒,高烧,"高烧的时候是可以泡脚的。一般高烧的时候可以用偏凉的水来进行泡脚,不宜过凉,容易造成血管收缩,造成寒战反射等情况。偏凉对于体温能起到传导散热,有利于降低体温。不仅可以泡脚,临床上也有物理降温的方式,就是采取水分传导散热,比如患者可以采取温水浴来进行散热,水温要偏低于体温,能够起到传导散热的作用,从而降低机体体温,是临床上非常有效、确切的物理降温的方式。不建议用淋浴,因为淋浴时患者是站立的,容易高烧时造成心脑血管的不适症状,容易造成晕倒等情况。尽量给予患者用浴缸进行物理降温。如果物理降温患者体温仍然高居不",Doc_train_0717_0077,train_0717,gold,1.0
Event_72e73b5c506d,血液脂质沉积附着于血管壁,颈动脉内膜逐渐增生变厚,长期的血管老化,"脉狭窄的常见病因有哪些呢?颈动脉狭窄最主要的病因就是动脉粥样硬化,由于长期的血管老化,血液脂质沉积附着于血管壁,是颈动脉内膜逐渐增生变厚,甚至形成斑块,堵塞颈动脉管腔,阻碍血液流通,造成脑缺血,甚至引发脑梗",Doc_train_0717_0081,train_0717,gold,1.0
Event_80a19a24aa35,血液脂质沉积附着于血管壁,斑块,长期的血管老化,"脉狭窄的常见病因有哪些呢?颈动脉狭窄最主要的病因就是动脉粥样硬化,由于长期的血管老化,血液脂质沉积附着于血管壁,是颈动脉内膜逐渐增生变厚,甚至形成斑块,堵塞颈动脉管腔,阻碍血液流通,造成脑缺血,甚至引发脑梗塞。尤其是很多",Doc_train_0717_0081,train_0717,gold,1.0
Event_bfc3255798af,局部炎症,突然视力急剧下降,视神经炎,"上看时下睑退缩,侵犯了眼外肌而出现眼球活动受限,所以有转动疼痛和复视。视神经炎患者突然视力急剧下降,伴有眼触痛感、眼球运动时疼痛,导致其发生的病因非常多,局部炎症如眼部炎症、鼻窦炎及眼眶炎症等,全身疾病如脱髓鞘疾病、中毒、糖尿病及麻",Doc_train_0717_0088,train_0717,gold,1.0
Event_3d4d23052d35,全身疾病,突然视力急剧下降,视神经炎,"上看时下睑退缩,侵犯了眼外肌而出现眼球活动受限,所以有转动疼痛和复视。视神经炎患者突然视力急剧下降,伴有眼触痛感、眼球运动时疼痛,导致其发生的病因非常多,局部炎症如眼部炎症、鼻窦炎及眼眶炎症等,全身疾病如脱髓鞘疾病、中毒、糖尿病及麻疹、感冒、结核和梅毒等传染病。",Doc_train_0717_0088,train_0717,gold,1.0
Event_117db7f01bc1,局部炎症,眼触痛感,视神经炎,"上看时下睑退缩,侵犯了眼外肌而出现眼球活动受限,所以有转动疼痛和复视。视神经炎患者突然视力急剧下降,伴有眼触痛感、眼球运动时疼痛,导致其发生的病因非常多,局部炎症如眼部炎症、鼻窦炎及眼眶炎症等,全身疾病如脱髓鞘疾病、中毒、糖尿病及麻",Doc_train_0717_0088,train_0717,gold,1.0
Event_ddd5eb5b1ffe,全身疾病,眼触痛感,视神经炎,"上看时下睑退缩,侵犯了眼外肌而出现眼球活动受限,所以有转动疼痛和复视。视神经炎患者突然视力急剧下降,伴有眼触痛感、眼球运动时疼痛,导致其发生的病因非常多,局部炎症如眼部炎症、鼻窦炎及眼眶炎症等,全身疾病如脱髓鞘疾病、中毒、糖尿病及麻疹、感冒、结核和梅毒等传染病。",Doc_train_0717_0088,train_0717,gold,1.0
Event_4749d8a19cbc,局部炎症,眼球运动时疼痛,视神经炎,"上看时下睑退缩,侵犯了眼外肌而出现眼球活动受限,所以有转动疼痛和复视。视神经炎患者突然视力急剧下降,伴有眼触痛感、眼球运动时疼痛,导致其发生的病因非常多,局部炎症如眼部炎症、鼻窦炎及眼眶炎症等,全身疾病如脱髓鞘疾病、中毒、糖尿病及麻",Doc_train_0717_0088,train_0717,gold,1.0
Event_63f245c8c293,全身疾病,眼球运动时疼痛,视神经炎,"上看时下睑退缩,侵犯了眼外肌而出现眼球活动受限,所以有转动疼痛和复视。视神经炎患者突然视力急剧下降,伴有眼触痛感、眼球运动时疼痛,导致其发生的病因非常多,局部炎症如眼部炎症、鼻窦炎及眼眶炎症等,全身疾病如脱髓鞘疾病、中毒、糖尿病及麻疹、感冒、结核和梅毒等传染病。",Doc_train_0717_0088,train_0717,gold,1.0
Event_3c2f656aa844,没有得到正确、及时的治疗,生存期只有1-2年,艾滋病晚期,"出现多器官功能衰竭、恶病质、严重的电解质紊乱、贫血、血小板降低等。如果没有得到正确、及时的治疗,艾滋病晚期患者生存期只有1-2年,严重的可能在数月内死亡。",Doc_train_0717_0092,train_0717,gold,1.0
Event_983a17ee17af,没有得到正确、及时的治疗,数月内死亡,艾滋病晚期,"出现多器官功能衰竭、恶病质、严重的电解质紊乱、贫血、血小板降低等。如果没有得到正确、及时的治疗,艾滋病晚期患者生存期只有1-2年,严重的可能在数月内死亡。",Doc_train_0717_0092,train_0717,gold,1.0
Event_49555622c8fc,不及早的将牙根拔掉,恒牙牙列不齐,小孩换牙之后,"小孩换牙之后,牙根没有掉,也要看新萌出恒牙的情况。如果新的恒牙已经萌出,就需要尽早的将乳牙的牙根拔掉。因为如果不及早的将牙根拔掉,可能就会对于新萌出的恒牙有一定的影响,造成恒牙牙列不齐的情况,而且只剩牙根在局部可能会有疼痛或者导致局部炎症的可能。因此小孩",Doc_train_0717_0095,train_0717,gold,1.0
Event_0cc9f7d7cf92,摄入蛋白质过少,体型比较瘦弱,"减肥的人,特别是年轻女性,为了保持身材","白质的代谢和机体自身肌肉代谢而成的,如果血清肌酐低于正常值的下限,说明摄入蛋白质过少或者本身肌肉含量过少造成的,例如减肥的人,特别是年轻女性,为了保持身材,摄入蛋白质过少,而体型比较瘦弱,只要能够保持其他系统在正常功能范围之内,就是正常现象,不需要特别关注",Doc_train_0717_0100,train_0717,gold,1.0
Event_4c91a7c87833,生理性贫血,心脏的负担加重,怀孕后的女性,"样的,成年人的脉搏一般在60-100次之间,大部分在70-80次之间,怀孕后的女性由于生理性贫血的影响以及循环血量增加使心脏的负担加重,可能会使心率相对增快。1、在怀孕早期时,孕妇的心率一般没有明显的变化",Doc_train_0717_0104,train_0717,gold,1.0
Event_63ae7628f1b1,循环血量增加,心脏的负担加重,怀孕后的女性,"样的,成年人的脉搏一般在60-100次之间,大部分在70-80次之间,怀孕后的女性由于生理性贫血的影响以及循环血量增加使心脏的负担加重,可能会使心率相对增快。1、在怀孕早期时,孕妇的心率一般没有明显的变化",Doc_train_0717_0104,train_0717,gold,1.0
Event_2fa7798a170b,体内白蛋白指标明显降低,大量的水分渗入到组织间隙,肝硬化失代偿,"夏天脚肿临床上常见的原因一般有以下几点:一、肝硬化失代偿的患者,由于体内白蛋白指标明显降低,会造成大量的水分渗入到组织间隙而引起脚肿。由于夏天天气炎热,患者摄入水分较多,会加重脚肿的症状。通过",Doc_train_0717_0109,train_0717,gold,1.0
Event_d96c52edc141,摄入水分较多,会加重脚肿,肝硬化失代偿,"夏天脚肿临床上常见的原因一般有以下几点:一、肝硬化失代偿的患者,由于体内白蛋白指标明显降低,会造成大量的水分渗入到组织间隙而引起脚肿。由于夏天天气炎热,患者摄入水分较多,会加重脚肿的症状。通过患者补充白蛋白,加强利尿,减少水分的摄入,可减轻脚部的肿胀",Doc_train_0717_0109,train_0717,gold,1.0
Event_fbbf0719ec96,夏天时天气炎热,外周血管的扩张,下肢静脉曲张,"。通过患者补充白蛋白,加强利尿,减少水分的摄入,可减轻脚部的肿胀。二、下肢静脉曲张的患者,夏天时天气炎热,可造成外周血管的扩张,较多血液淤积在下肢,从而引起脚肿。如果患者脚肿症状较轻,可以经血管内",Doc_train_0717_0109,train_0717,gold,1.0
Event_3b32ce805991,妊娠反应剧烈,便秘,怀孕初期,"怀孕初期有些孕妈妈由于妊娠反应剧烈、食欲不佳,容易便秘,所以多吃水果是保证维生素c和矿物质供给的重要途径。建议怀孕初期多吃苹",Doc_train_0717_0110,train_0717,gold,1.0
Event_73d915d1ea7b,食欲不佳,便秘,怀孕初期,"怀孕初期有些孕妈妈由于妊娠反应剧烈、食欲不佳,容易便秘,所以多吃水果是保证维生素c和矿物质供给的重要途径。建议怀孕初期多吃苹",Doc_train_0717_0110,train_0717,gold,1.0
Event_63f0661d8da7,尘肺病,肺脓肿,治疗不及时或者不重视,"洗肺可以治疗尘肺病,尘肺病是指长期在含有大量粉尘的环境中工作的人员,因为吸入粉尘等大颗粒的有害物质,刺激肺部感染而造成肺部出现咳嗽以及咳痰的症状。所以发现患有尘肺病时一定要及时去医院接受洗肺治疗,这样能让肺部的有害物质尽早排出,减少对肺部的刺激及损害。尘肺病治疗不及时或者不重视时,后期会发展成为肺脓肿等严重后果,在日常生活中尽量不要接触大量粉尘。",Doc_train_0717_0111,train_0717,gold,1.0
